Type,Latitude,Longitude,Altitude,Covariance,,,,,,,,
Surrogate Mine,40.18468013,-8.414337443,119.4501,6.7888,-7.6507,14.9219,-7.6507,10.6487,-19.4049,14.9219,-19.4049,37.519
Coke Can,40.18474131,-8.414388437,95.7582,7.3023,-7.9278,15.7418,-7.9278,10.441,-19.3404,15.7418,-19.3404,38.114
Surrogate Mine,40.18469933,-8.414384059,99.1825,7.265,-7.3845,14.96,-7.3845,9.2742,-17.2211,14.96,-17.2211,34.6199
Surrogate Mine,40.18467112,-8.414377301,98.9176,7.5859,-7.3982,15.292,-7.3982,8.8253,-16.6475,15.292,-16.6475,34.1855
Surrogate Mine,40.18470428,-8.414372335,109.439,7.8992,-7.3866,15.5464,-7.3866,8.4476,-16.0974,15.5464,-16.0974,33.6941
Small Metal Piece,40.18472988,-8.414407951,93.1824,8.0828,-7.2445,15.5244,-7.2445,7.977,-15.3195,15.5244,-15.3195,32.6812
Surrogate Mine,40.18468283,-8.414415405,91.3747,8.1288,-7.0478,15.3241,-7.0478,7.5571,-14.5784,15.3241,-14.5784,31.5765
Surrogate Mine,40.18472842,-8.414420228,100.3748,8.1881,-6.7987,15.0186,-6.7987,7.0961,-13.669,15.0186,-13.669,30.1213
Coke Can,40.18470493,-8.414400085,108.2303,8.1074,-6.4977,14.5521,-6.4977,6.6524,-12.7746,14.5521,-12.7746,28.571
Surrogate Mine,40.18470034,-8.414447118,92.8744,2.868,1.3423,1.3735,1.3423,3.1862,-1.0024,1.3735,-1.0024,6.7418
Surrogate Mine,40.18472965,-8.414454803,94.9422,2.8789,1.309,1.5347,1.309,3.1777,-0.6773,1.5347,-0.6773,6.7462
Surrogate Mine,40.18469349,-8.414459105,94.9186,2.849,1.3081,1.6171,1.3081,3.1343,-0.091,1.6171,-0.091,6.6656
Surrogate Mine,40.18471987,-8.414437708,94.8587,2.8406,1.293,1.7081,1.293,3.1144,0.589,1.7081,0.589,6.6247
Large Metal Piece,40.18474156,-8.41446587,94.4049,2.8536,1.2653,1.8068,1.2653,3.1172,0.7787,1.8068,0.7787,6.6164
3 Metal Screws,40.18471445,-8.414482103,95.6064,2.8234,1.2582,1.8772,1.2582,3.0779,0.9587,1.8772,0.9587,6.516
